22@s.s@Tennis@s.s@4380@s.s@A. Krajicek@s.s@0
22@s.s@Tennis@s.s@4378@s.s@A.-U.-H. Qureshi@s.s@0
22@s.s@Tennis@s.s@4377@s.s@D. Inglot@s.s@0
22@s.s@Tennis@s.s@7973@s.s@M. Demoliner@s.s@0
22@s.s@Tennis@s.s@7969@s.s@G. Pella@s.s@0
22@s.s@Tennis@s.s@7968@s.s@P. Cuevas@s.s@0
22@s.s@Tennis@s.s@7966@s.s@R. Lindstedt@s.s@0
22@s.s@Tennis@s.s@7965@s.s@J. Chardy@s.s@0
22@s.s@Tennis@s.s@7963@s.s@M.-K. Song@s.s@0
22@s.s@Tennis@s.s@7962@s.s@J. S. Nam@s.s@0
22@s.s@Tennis@s.s@7960@s.s@J. Thompson@s.s@0
22@s.s@Tennis@s.s@7988@s.s@M. Gonzalez/F. Martin@s.s@0
22@s.s@Tennis@s.s@4447@s.s@S. Zhang@s.s@0
22@s.s@Tennis@s.s@4446@s.s@S. Peng@s.s@0
22@s.s@Tennis@s.s@7769@s.s@Mikael Ymer@s.s@0
22@s.s@Tennis@s.s@7950@s.s@A. Harris@s.s@0
22@s.s@Tennis@s.s@7959@s.s@L. Hewitt@s.s@0
22@s.s@Tennis@s.s@7957@s.s@V. Pospisil@s.s@0
22@s.s@Tennis@s.s@7956@s.s@H. Hurkacz@s.s@0
22@s.s@Tennis@s.s@7954@s.s@B. Soares@s.s@0
22@s.s@Tennis@s.s@7953@s.s@M. Pavic@s.s@0
22@s.s@Tennis@s.s@7986@s.s@D. Lajovic@s.s@0
22@s.s@Tennis@s.s@7974@s.s@M. Middelkoop@s.s@0
22@s.s@Tennis@s.s@7976@s.s@T. Sandgren@s.s@0
22@s.s@Tennis@s.s@7977@s.s@J. Withrow@s.s@0
22@s.s@Tennis@s.s@7979@s.s@M. Fucsovics@s.s@0
22@s.s@Tennis@s.s@7980@s.s@C. Norrie@s.s@0
22@s.s@Tennis@s.s@7984@s.s@N. Cacic@s.s@0
22@s.s@Tennis@s.s@4413@s.s@N. Mektic@s.s@0
22@s.s@Tennis@s.s@4414@s.s@Pablo Carreno-Busta@s.s@0
22@s.s@Tennis@s.s@4415@s.s@Lloyd Harris@s.s@0
22@s.s@Tennis@s.s@4417@s.s@J. Melzer@s.s@0
22@s.s@Tennis@s.s@4418@s.s@E. Roger-Vasselin@s.s@0
22@s.s@Tennis@s.s@4420@s.s@J. Murray@s.s@0
22@s.s@Tennis@s.s@4421@s.s@N. Skupski@s.s@0
22@s.s@Tennis@s.s@4422@s.s@Daniel Evans@s.s@0
22@s.s@Tennis@s.s@4423@s.s@Andrey Rublev@s.s@0
22@s.s@Tennis@s.s@4412@s.s@W. Koolhof@s.s@0
22@s.s@Tennis@s.s@7766@s.s@Filip Krajinovic@s.s@0
